,title,challenge level,challenge level numeric
53, opera cake,Challenging,3
54, banoffee pie,Needs skill,2
55, spotted dick and custard,Needs skill,2
56, sticky vegan parkin,Easy,1
57, spanakopita,Challenging,3
58, pear tarte tatin,Needs skill,2
59, seven-strand plaited wreath,Needs skill,2
60, mint chocolate biscuits,Needs skill,2
61, mini battenbergs,Needs skill,2
62, custard slices,Needs skill,2
63, chocolate and raspberry roulade,Needs skill,2
64, vegan iced rings,Needs skill,2
65, fondant fancies,Needs skill,2
66, pretzels with cheese sauce,Needs skill,2
67, charlotte royale,Needs skill,2
68, chiffon cloud cake,Needs skill,2
69, chocolate cauldrons with edible slime and biscuit spoons,Challenging,3
70, doll’s house cakes,Needs skill,2
71, red velvet whoopie pies,Easy,1
72, crepe roll,Needs skill,2
73, invisible filling pie,Needs skill,2
74, hot cross bunnies,Easy,1
75, harry hill chai latte biscuits,Easy,1
76, choux choux train,Needs skill,2
77, cinnamon snails,Easy,1
78, stuffed monster cookies,Easy,1
79, cartoon cake,Needs skill,2
80, mad alien madeleines,Easy,1
81, tutu pavlovas,Needs skill,2
82, lardy cake,Needs skill,2
83, tarte aux pommes,Needs skill,2
84, caterpillar cake,Needs skill,2
85, orange and ginger treacle puddings,Needs skill,2
86, lemon & thyme bundt,Easy,1
87, dauphinoise potato and caramelised onion pithivier,Needs skill,2
88, caramelised white chocolate & blackcurrant cheesecakes,Challenging,3
89, devonshire splits,Needs skill,2
90, custard creams,Easy,1
91, chocolate fudge cake,Easy,1
92, honey bunny domes,Challenging,3
93, bubble tacos,Easy,1
94, naan wraps,Easy,1
95, stuffed mouse crum-pets,Easy,1
96, apple pie & milkshake,Needs skill,2
97, muddier than muddy mississippi mud & worm pie,Needs skill,2
98, sausage dog hot dogs,Easy,1
99, fortune cookies,Needs skill,2
100, angry face cakesicles,Easy,1
101, crullers,Easy,1
102, tang yuan frogs,Needs skill,2
103, tiger bread,Easy,1
104, unicorn wafer cones,Needs skill,2
105, fondant fancies,Needs skill,2
106," chocolate, hazelnut & raspberry vertical tarts",Challenging,3
107, spring rolls,Needs skill,2
108, pistachio praline ice cream,Needs skill,2
109, s’mores,Needs skill,2
110, lemon meringue pie,Needs skill,2
111, spicy beef tacos,Easy,1
112, pain aux raisins,Needs skill,2
113, garibaldi biscuits,Easy,1
114, red velvet cake,Needs skill,2
115, almond & cherry jam roly-poly,Easy,1
116, pistachio & lemon biscotti,Easy,1
117, raspberry doughnuts,Easy,1
118, double chocolate fondant puddings,Easy,1
119, maple & pecan madeleines,Needs skill,2
120, fruity jelly snow globes,Challenging,3
121, illusion dessert,Needs skill,2
122, waffle sandwiches,Easy,1
123, caramel & chocolate tarts,Easy,1
124, pop stars,Needs skill,2
125, rainbow baked alaska,Needs skill,2
126, bear & share bread,Easy,1
127, biscuit sunglasses,Easy,1
128, upside-down cake,Needs skill,2
129, harry hill religieuse,Needs skill,2
130, exotic fruity meringue bombes,Needs skill,2
131, steamed buns,Easy,1
132, peanut millionaire’s shortbread,Easy,1
133, mini piggy rolls,Needs skill,2
134, new year cake,Easy,1
135, chocolate yule log,Easy,1
136, belgian buns,Easy,1
137, sablé breton,Challenging,3
138, vegan sausage rolls,Needs skill,2
139, caramel biscuit bars,Challenging,3
140, baklava,Challenging,3
141, prinzregententorte,Challenging,3
142, sticky toffee puddings,Needs skill,2
143, ciabatta breadsticks,Needs skill,2
144, jammy biscuits,Needs skill,2
145, malt loaf,Easy,1
146, coffee & walnut financiers,Easy,1
147, latticed cherry pie & custard,Needs skill,2
148, queen of puddings,Needs skill,2
149, cheese & chive scones with homemade butter,Easy,1
150, vegan chocolate & raspberry tarts,Needs skill,2
151, macaron snack-cessories,Needs skill,2
152, biscuit card tower & deck of cards,Needs skill,2
153, cherry & almond deco roll,Needs skill,2
154, yorkshire pudding wraps,Needs skill,2
155, churros with banana butterscotch,Needs skill,2
156, mega-choccy stack,Needs skill,2
157, tiger pretzels,Needs skill,2
158, chocolate marshmallow biscuits,Needs skill,2
159, chess cake,Needs skill,2
160, caribbean patties,Needs skill,2
161, soufflé pancakes,Needs skill,2
162, pizza star bread,Needs skill,2
163, cookie cups & roasted hazelnut milk,Needs skill,2
164, strawberry & custard jaffa cakes,Needs skill,2
165, steamed bao buns with crispy duck,Easy,1
166, last-minute christmas pudding,Easy,1
167, coffee walnut whirls,Challenging,3
168, danish cornucopia,Challenging,3
169, sussex pond puddings,Easy,1
170, jam & custard doughnuts,Needs skill,2
171, matcha mille crêpe cake,Needs skill,2
172, raspberry & salted caramel éclairs,Challenging,3
173, chocolate babka,Needs skill,2
174, rainbow-coloured bagels,Needs skill,2
175, coconut macaroons,Easy,1
176, pineapple upside-down cakes,Easy,1
177, iced buns,Needs skill,2
178, mini yorkshire puddings,Easy,1
179, gluten-free battenberg,Needs skill,2
180, raspberry millefeuille,Needs skill,2
181, hot smoked salmon & beetroot blinis,Easy,1
182, black pudding & caramelised onion sausage wreath,Needs skill,2
183, millefeuille,Challenging,3
184, vertical layer cake,Challenging,3
185, malva puddings,Needs skill,2
186, salted caramel chocolate tart,Needs skill,2
187, chouxnuts,Needs skill,2
188, harry hill pancakes,Needs skill,2
189, breakfast sarnie,Easy,1
190, iced rings,Needs skill,2
191, peanut butter & chocolate swirl cake,Easy,1
192, veggie sausage plaits,Needs skill,2
193, prue leith pancakes,Needs skill,2
194, apple & cinnamon buns,Easy,1
195, viennese whirls,Needs skill,2
196, english madeleines,Easy,1
197, twice-baked stilton soufflés with lavash crackers,Challenging,3
198, gâteau saint honoré,Challenging,3
199, moroccan-style pie,Needs skill,2
200, chocolate & ricotta cassatelle,Challenging,3
201," mango, coconut & raspberry verrines",Challenging,3
202, beignets soufflé,Needs skill,2
203, maids of honour,Needs skill,2
204, floury baps & veggie burgers,Needs skill,2
205, fig rolls,Needs skill,2
206, angel cake slices,Challenging,3
207, choux swans,Needs skill,2
208,chocolate crumpets with black cherry jam,Easy,1
209, pork pies,Needs skill,2
210, cream horns,Needs skill,2
211, stripy swiss roll,Needs skill,2
212, snow eggs,Needs skill,2
213, leaf bread,Needs skill,2
214, campfire pitta breads ,Needs skill,2
215, torta setteveli,Needs skill,2
216, aebleskiver,Easy,1
217, vegan tropical pavlova,Needs skill,2
218, puits d’amour,Needs skill,2
219, ma’amoul,Easy,1
220, raspberry blancmange,Easy,1
221, naan bread with garlic ghee,Easy,1
222, le gâteau vert,Needs skill,2
223, wagon wheels biscuits,Challenging,3
224, iced ginger biscuits,Needs skill,2
225, cumberland rum nicky,Easy,1
226, pizza margherita,Needs skill,2
227, pastéis de nata,Needs skill,2
228, molten puddings,Easy,1
229, stroopwafels,Needs skill,2
230, classic cottage loaf,Easy,1
231, fortune cookies,Needs skill,2
232, chocolate mini rolls,Needs skill,2
233, victoria sponge,Easy,1
